"name","email","phone","company","source","status","company_size","interactions_count","previous_deals","deal_value","days_since_last_interaction","converted"
"Finley Lawson","lead019@example.test","+1-202-555-1019","Redwood Works 19","LinkedIn","qualified","1408","0","5","44086.93","51","1"
"Hayden Griffin","lead020@example.test","+1-202-555-1020","Brightline Works 20","Google Ads","qualified","905","5","4","126921.49","69","1"
"Drew Palmer","lead021@example.test","+1-202-555-1021","Summit Solutions 21","Google Ads","lost","1654","10","3","13386.41","79","0"
"Reese Monroe","lead022@example.test","+1-202-555-1022","Northstar Labs 22","Email Campaign","qualified","323","7","0","146059.31","177","0"
"Jamie Sawyer","lead023@example.test","+1-202-555-1023","Evergreen Labs 23","Cold Call","converted","1622","13","1","194687.63","4","1"
"Morgan Jensen","lead024@example.test","+1-202-555-1024","Pioneer Health 24","Email Campaign","converted","1854","11","3","106039.93","42","1"
"Finley Warren","lead025@example.test","+1-202-555-1025","Pioneer Systems 25","Cold Call","converted","581","8","5","153710.07","66","1"
"Casey Sawyer","lead026@example.test","+1-202-555-1026","Horizon Supply 26","Email Campaign","contacted","926","6","0","53314.75","160","0"
"Cameron Foster","lead027@example.test","+1-202-555-1027","Blue Oak Commerce 27","LinkedIn","lost","378","3","0","29634.25","150","0"
"Rowan West","lead028@example.test","+1-202-555-1028","Summit Media 28","Facebook","lost","929","8","0","105304.76","45","0"
"Emerson Lawson","lead029@example.test","+1-202-555-1029","Atlas Labs 29","Referral","qualified","1145","15","5","193923.34","175","1"
"Alex Jensen","lead030@example.test","+1-202-555-1030","Keystone Labs 30","Referral","qualified","883","2","5","129599.14","93","0"
"Jamie Turner","lead031@example.test","+1-202-555-1031","Horizon Works 31","Cold Call","qualified","1894","12","5","45442.45","145","1"
"Taylor Keller","lead032@example.test","+1-202-555-1032","Oakridge Media 32","Facebook","converted","498","7","5","103885.45","64","1"
"Drew Carter","lead033@example.test","+1-202-555-1033","Blue Oak Analytics 33","Email Campaign","converted","783","15","4","109202.58","1","1"
"Jamie Nolan","lead034@example.test","+1-202-555-1034","Silver Birch Analytics 34","Google Ads","lost","1045","11","3","17526.45","70","0"
"Morgan Griffin","lead035@example.test","+1-202-555-1035","Keystone Media 35","Google Ads","new","1933","6","4","178501.85","36","1"
"Skyler Sawyer","lead036@example.test","+1-202-555-1036","Evergreen Works 36","Referral","qualified","1286","9","2","152490.52","126","0"
"Emerson Turner","lead037@example.test","+1-202-555-1037","Blue Oak Solutions 37","Website","qualified","1049","15","3","189212.15","39","1"
"Sage Warren","lead038@example.test","+1-202-555-1038","Atlas Logistics 38","Google Ads","lost","867","14","2","145054.03","20","0"
"Cameron Carter","lead039@example.test","+1-202-555-1039","Atlas Systems 39","LinkedIn","lost","1125","6","3","118528.49","16","0"
"Kendall Jensen","lead040@example.test","+1-202-555-1040","Evergreen Commerce 40","LinkedIn","contacted","608","15","3","160592.34","155","0"
"Hayden Monroe","lead041@example.test","+1-202-555-1041","Oakridge Ventures 41","LinkedIn","lost","1837","14","3","42299.82","53","0"
"Skyler Jensen","lead042@example.test","+1-202-555-1042","Atlas Labs 42","LinkedIn","converted","129","7","4","119305.11","7","1"
"Taylor Keller","lead043@example.test","+1-202-555-1043","Cedar Commerce 43","Facebook","contacted","244","3","5","161386.85","126","0"
"Jamie Reed","lead044@example.test","+1-202-555-1044","Lighthouse Systems 44","Cold Call","new","902","7","0","150771.91","93","0"
"Finley Sawyer","lead045@example.test","+1-202-555-1045","Horizon Solutions 45","LinkedIn","qualified","1348","10","1","48923.99","144","0"
"Rowan Warren","lead046@example.test","+1-202-555-1046","Redwood Labs 46","Cold Call","contacted","1224","15","4","142755.01","43","1"
"Emerson Harper","lead047@example.test","+1-202-555-1047","Summit Systems 47","Cold Call","lost","1089","5","5","120205.33","117","0"
"Quinn Monroe","lead048@example.test","+1-202-555-1048","Keystone Partners 48","Website","new","1700","9","5","149786.74","134","1"
"Casey Reed","lead049@example.test","+1-202-555-1049","Clearpath Ventures 49","Website","qualified","1775","0","2","94936.88","10","0"
"Jordan Keller","lead050@example.test","+1-202-555-1050","Keystone Solutions 50","Google Ads","qualified","1134","14","1","8617.08","71","1"
"Casey Carter","lead051@example.test","+1-202-555-1051","Horizon Solutions 51","Cold Call","lost","1004","12","3","72366.29","171","0"
"Hayden Reed","lead052@example.test","+1-202-555-1052","Lighthouse Commerce 52","Google Ads","lost","556","14","2","173549.94","83","0"
"Taylor Foster","lead053@example.test","+1-202-555-1053","Keystone Works 53","Referral","converted","1617","4","4","86849.4","22","1"
"Skyler Young","lead054@example.test","+1-202-555-1054","Lighthouse Commerce 54","Google Ads","qualified","1701","10","0","42193.5","36","0"
"Drew Sawyer","lead055@example.test","+1-202-555-1055","Atlas Labs 55","LinkedIn","lost","348","8","3","147176.21","11","0"
"Alex Monroe","lead056@example.test","+1-202-555-1056","Clearpath Labs 56","Facebook","new","383","10","2","97810.08","76","1"
"Riley Lawson","lead057@example.test","+1-202-555-1057","Redwood Systems 57","Referral","qualified","1796","3","5","129609.13","48","1"
"Jamie Palmer","lead058@example.test","+1-202-555-1058","Lighthouse Works 58","Facebook","lost","1063","1","5","125024.48","114","0"
"Jamie Carter","lead059@example.test","+1-202-555-1059","Cedar Supply 59","Website","qualified","1483","1","1","110708.22","107","0"
"Skyler Young","lead060@example.test","+1-202-555-1060","Lighthouse Analytics 60","Cold Call","converted","1312","14","5","38795.66","70","1"
"Finley Whitaker","lead061@example.test","+1-202-555-1061","Summit Analytics 61","Google Ads","converted","1149","6","3","82645.87","81","1"
"Morgan Griffin","lead062@example.test","+1-202-555-1062","Northstar Health 62","Facebook","qualified","995","7","1","21563.6","173","0"
"Hayden Palmer","lead063@example.test","+1-202-555-1063","Blue Oak Systems 63","Referral","contacted","666","0","0","8004.85","89","0"
"Jordan Harper","lead064@example.test","+1-202-555-1064","Pioneer Analytics 64","Google Ads","converted","1135","12","5","17706.66","48","1"
"Reese Foster","lead065@example.test","+1-202-555-1065","Atlas Analytics 65","Email Campaign","lost","663","10","4","21003.69","27","0"
"Avery Dawson","lead066@example.test","+1-202-555-1066","Keystone Logistics 66","Referral","lost","65","3","1","181467.06","83","0"
"Quinn Monroe","lead067@example.test","+1-202-555-1067","Redwood Health 67","Cold Call","lost","830","5","3","198604.32","120","0"
"Sage Bennett","lead068@example.test","+1-202-555-1068","Atlas Commerce 68","Cold Call","lost","1747","15","3","29360.8","99","0"
"Cameron Young","lead069@example.test","+1-202-555-1069","Redwood Supply 69","Cold Call","qualified","14","12","4","143740.45","113","1"
"Skyler Carter","lead070@example.test","+1-202-555-1070","Horizon Analytics 70","Google Ads","converted","336","6","2","25085.45","61","1"
"Emerson Bennett","lead071@example.test","+1-202-555-1071","Atlas Health 71","Referral","converted","1423","14","5","174454.87","89","1"
"Avery Whitaker","lead072@example.test","+1-202-555-1072","Brightline Logistics 72","Facebook","lost","1629","12","1","150273.9","173","0"
"Emerson Foster","lead073@example.test","+1-202-555-1073","Atlas Solutions 73","Google Ads","contacted","1834","6","4","57158.13","83","0"
"Rowan Ellis","lead074@example.test","+1-202-555-1074","Blue Oak Supply 74","Referral","contacted","531","14","0","113197.94","16","1"
"Jamie Dawson","lead075@example.test","+1-202-555-1075","Cedar Media 75","Cold Call","contacted","439","8","1","92642.74","21","1"
"Cameron Griffin","lead076@example.test","+1-202-555-1076","Redwood Commerce 76","LinkedIn","qualified","371","11","2","7667.06","111","1"
"Emerson Warren","lead077@example.test","+1-202-555-1077","Silver Birch Logistics 77","Facebook","new","969","0","0","196315.01","146","0"
"Avery Foster","lead078@example.test","+1-202-555-1078","Pioneer Works 78","Website","converted","129","15","3","91707.71","84","1"
"Rowan Jensen","lead079@example.test","+1-202-555-1079","Brightline Logistics 79","Cold Call","qualified","1680","2","5","132932.48","21","1"
"Riley Young","lead080@example.test","+1-202-555-1080","Blue Oak Partners 80","LinkedIn","qualified","459","5","0","187888.56","125","0"
"Drew Young","lead081@example.test","+1-202-555-1081","Silver Birch Health 81","Website","contacted","1260","10","3","108401.03","3","1"
"Alex West","lead082@example.test","+1-202-555-1082","Northstar Analytics 82","Referral","new","1420","13","5","185763.46","149","0"
"Kendall Whitaker","lead083@example.test","+1-202-555-1083","Lighthouse Partners 83","Referral","lost","771","8","4","133114.73","104","0"
"Hayden Monroe","lead084@example.test","+1-202-555-1084","Oakridge Media 84","Website","qualified","943","11","5","84954.44","133","1"
"Parker Foster","lead085@example.test","+1-202-555-1085","Cedar Analytics 85","Referral","converted","1531","9","5","109108.77","11","1"
"Kendall Dawson","lead086@example.test","+1-202-555-1086","Atlas Supply 86","Website","contacted","378","1","3","21151.96","1","1"
"Rowan Lawson","lead087@example.test","+1-202-555-1087","Blue Oak Logistics 87","Facebook","contacted","1610","1","5","85935.67","55","0"
"Jamie West","lead088@example.test","+1-202-555-1088","Northstar Media 88","LinkedIn","contacted","1529","11","5","186072.7","91","1"
"Rowan Keller","lead089@example.test","+1-202-555-1089","Silver Birch Logistics 89","Referral","contacted","1106","15","1","16785.68","48","0"
"Avery Keller","lead090@example.test","+1-202-555-1090","Redwood Analytics 90","Referral","new","1065","8","5","43443.54","32","1"
"Cameron Lawson","lead091@example.test","+1-202-555-1091","Clearpath Works 91","LinkedIn","contacted","1798","9","5","114475.75","119","0"
"Emerson Reed","lead092@example.test","+1-202-555-1092","Horizon Ventures 92","Email Campaign","contacted","157","12","3","176954.01","128","1"
"Parker Sawyer","lead093@example.test","+1-202-555-1093","Silver Birch Ventures 93","LinkedIn","converted","1442","13","3","71940.12","12","1"
"Kendall Ellis","lead094@example.test","+1-202-555-1094","Clearpath Logistics 94","Facebook","lost","1308","7","2","41128.99","124","0"
"Drew Dawson","lead095@example.test","+1-202-555-1095","Evergreen Solutions 95","Facebook","lost","1379","0","3","137849.64","5","0"
"Avery Warren","lead096@example.test","+1-202-555-1096","Evergreen Ventures 96","Referral","converted","187","11","5","129347.22","65","1"
"Riley Turner","lead097@example.test","+1-202-555-1097","Lighthouse Logistics 97","Google Ads","lost","528","3","0","161740.28","129","0"
"Kendall Turner","lead098@example.test","+1-202-555-1098","Blue Oak Analytics 98","Referral","contacted","1072","2","3","74740.24","136","0"
"Reese Carter","lead099@example.test","+1-202-555-1099","Summit Supply 99","Email Campaign","converted","1689","11","4","103269.02","53","1"
"Rowan Sawyer","lead100@example.test","+1-202-555-1100","Pioneer Health 100","Website","qualified","881","1","3","121679.77","103","1"
"Rowan Jensen","lead101@example.test","+1-202-555-1101","Silver Birch Solutions 101","Email Campaign","new","1995","6","3","85668.11","54","0"
"Taylor Young","lead102@example.test","+1-202-555-1102","Northstar Media 102","Facebook","contacted","1786","11","4","159181.44","13","1"
"Kendall Carter","lead103@example.test","+1-202-555-1103","Pioneer Media 103","Referral","converted","1351","7","1","34297.87","76","1"
"Riley Jensen","lead104@example.test","+1-202-555-1104","Cedar Labs 104","Website","qualified","687","2","0","105262.92","138","0"
"Cameron Sawyer","lead105@example.test","+1-202-555-1105","Keystone Systems 105","Google Ads","contacted","262","11","4","72723.2","50","1"
"Emerson Sawyer","lead106@example.test","+1-202-555-1106","Oakridge Supply 106","Email Campaign","qualified","1366","8","3","140980.64","119","0"
"Drew Bennett","lead107@example.test","+1-202-555-1107","Northstar Supply 107","Google Ads","converted","1056","11","3","78948.9","89","1"
"Avery Bennett","lead108@example.test","+1-202-555-1108","Blue Oak Labs 108","Email Campaign","new","1920","2","1","101569.3","63","0"
"Emerson Warren","lead109@example.test","+1-202-555-1109","Lighthouse Supply 109","Google Ads","new","1142","10","3","58786.32","25","0"
"Jamie Warren","lead110@example.test","+1-202-555-1110","Blue Oak Media 110","Referral","qualified","577","8","0","169621.44","120","0"
"Drew West","lead111@example.test","+1-202-555-1111","Redwood Systems 111","Facebook","converted","1453","8","2","160653.11","37","1"
"Sage West","lead112@example.test","+1-202-555-1112","Summit Logistics 112","Cold Call","converted","75","15","5","8793.11","18","1"
"Morgan Sawyer","lead113@example.test","+1-202-555-1113","Cedar Labs 113","Facebook","lost","532","5","0","149583.86","99","0"
"Jamie Bennett","lead114@example.test","+1-202-555-1114","Horizon Media 114","Facebook","converted","1317","15","4","135322.6","43","1"
"Finley Ellis","lead115@example.test","+1-202-555-1115","Brightline Supply 115","Cold Call","contacted","926","10","1","44607.45","75","1"
"Kendall Harper","lead116@example.test","+1-202-555-1116","Atlas Systems 116","LinkedIn","contacted","485","3","5","45073.56","56","1"
"Taylor Griffin","lead117@example.test","+1-202-555-1117","Atlas Logistics 117","Facebook","converted","491","5","5","176345.42","72","1"
"Quinn Jensen","lead118@example.test","+1-202-555-1118","Brightline Solutions 118","Facebook","contacted","1702","10","1","40389.4","77","0"
"Finley Harper","lead119@example.test","+1-202-555-1119","Summit Ventures 119","Facebook","converted","1343","13","3","151121.8","87","1"
"Kendall Carter","lead120@example.test","+1-202-555-1120","Horizon Commerce 120","Facebook","qualified","898","13","4","119546.25","107","1"
"Emerson Griffin","lead121@example.test","+1-202-555-1121","Silver Birch Systems 121","Email Campaign","new","1188","8","5","140559.66","176","0"
"Casey Carter","lead122@example.test","+1-202-555-1122","Oakridge Systems 122","Google Ads","new","435","5","3","182339.87","157","0"
"Drew Warren","lead123@example.test","+1-202-555-1123","Oakridge Labs 123","Referral","qualified","915","5","5","19958.32","21","1"
"Kendall Monroe","lead124@example.test","+1-202-555-1124","Evergreen Logistics 124","Google Ads","qualified","689","4","0","153917.12","12","0"
"Emerson Foster","lead125@example.test","+1-202-555-1125","Lighthouse Labs 125","LinkedIn","contacted","526","10","2","199286.95","122","0"
"Taylor Turner","lead126@example.test","+1-202-555-1126","Lighthouse Commerce 126","Referral","lost","238","3","5","90072.18","43","0"
"Emerson Dawson","lead127@example.test","+1-202-555-1127","Clearpath Logistics 127","Facebook","lost","925","12","4","106977.16","41","0"
"Riley Reed","lead128@example.test","+1-202-555-1128","Oakridge Media 128","Cold Call","qualified","264","15","5","70355.19","179","1"
"Riley Whitaker","lead129@example.test","+1-202-555-1129","Northstar Works 129","Google Ads","converted","911","7","3","38447.33","14","1"
"Jamie Monroe","lead130@example.test","+1-202-555-1130","Keystone Health 130","Google Ads","qualified","384","2","3","143439.07","80","0"
"Rowan Harper","lead131@example.test","+1-202-555-1131","Summit Systems 131","Referral","contacted","1544","14","3","109367.61","179","0"
"Skyler Carter","lead132@example.test","+1-202-555-1132","Blue Oak Analytics 132","Website","qualified","1358","1","3","84060.82","54","0"
"Kendall Bennett","lead133@example.test","+1-202-555-1133","Brightline Commerce 133","Website","lost","925","12","1","99737.86","176","0"
"Finley Young","lead134@example.test","+1-202-555-1134","Oakridge Logistics 134","Cold Call","contacted","895","4","3","160110.34","79","0"
"Rowan Ellis","lead135@example.test","+1-202-555-1135","Cedar Logistics 135","Website","qualified","1467","1","0","169014.1","46","0"
"Finley Keller","lead136@example.test","+1-202-555-1136","Horizon Ventures 136","Website","contacted","1831","6","0","49587.17","52","0"
"Rowan Monroe","lead137@example.test","+1-202-555-1137","Summit Commerce 137","Email Campaign","new","1778","2","3","174545.29","160","0"
"Sage Harper","lead138@example.test","+1-202-555-1138","Clearpath Ventures 138","Cold Call","converted","1690","14","4","141603.25","51","1"
"Cameron West","lead139@example.test","+1-202-555-1139","Northstar Works 139","Referral","converted","116","10","5","14492.49","86","1"
"Reese Warren","lead140@example.test","+1-202-555-1140","Atlas Supply 140","Referral","lost","1021","0","3","42282.59","69","0"
"Quinn Turner","lead141@example.test","+1-202-555-1141","Blue Oak Ventures 141","Email Campaign","qualified","1589","9","1","108303.64","78","1"
"Kendall Nolan","lead142@example.test","+1-202-555-1142","Pioneer Systems 142","Cold Call","qualified","1577","13","5","123525.94","2","1"
"Skyler Lawson","lead143@example.test","+1-202-555-1143","Summit Works 143","Cold Call","converted","767","14","5","97330.06","12","1"
"Finley Ellis","lead144@example.test","+1-202-555-1144","Brightline Labs 144","Referral","qualified","1780","15","4","23551.11","52","1"
"Casey Keller","lead145@example.test","+1-202-555-1145","Atlas Works 145","Cold Call","lost","975","0","2","20684.12","60","0"
"Rowan Dawson","lead146@example.test","+1-202-555-1146","Cedar Labs 146","Facebook","converted","1588","12","4","190340.98","71","1"
"Morgan Young","lead147@example.test","+1-202-555-1147","Atlas Solutions 147","LinkedIn","qualified","1150","1","5","68465.12","3","1"
"Jordan Whitaker","lead148@example.test","+1-202-555-1148","Blue Oak Supply 148","Google Ads","converted","1176","9","5","47463.68","27","1"
"Emerson Harper","lead149@example.test","+1-202-555-1149","Brightline Ventures 149","Email Campaign","converted","1848","15","2","198615.17","80","1"
"Quinn Lawson","lead150@example.test","+1-202-555-1150","Atlas Supply 150","Google Ads","converted","1184","15","5","159171.47","88","1"
"Avery Turner","lead151@example.test","+1-202-555-1151","Northstar Analytics 151","Email Campaign","converted","997","11","5","184834.3","88","1"
"Skyler Harper","lead152@example.test","+1-202-555-1152","Atlas Supply 152","Email Campaign","lost","1899","13","3","133434.22","178","0"
"Hayden Carter","lead153@example.test","+1-202-555-1153","Keystone Partners 153","Website","qualified","474","15","4","180902.25","50","1"
"Riley West","lead154@example.test","+1-202-555-1154","Northstar Commerce 154","Website","qualified","413","9","0","53646.95","161","0"
"Hayden West","lead155@example.test","+1-202-555-1155","Blue Oak Systems 155","Website","converted","931","8","2","97127.2","33","1"
"Cameron Sawyer","lead156@example.test","+1-202-555-1156","Northstar Works 156","Email Campaign","new","1194","12","0","128191.07","105","0"
"Jordan Lawson","lead157@example.test","+1-202-555-1157","Brightline Health 157","Google Ads","contacted","441","9","1","50010.08","3","1"
"Alex Keller","lead158@example.test","+1-202-555-1158","Oakridge Ventures 158","Cold Call","contacted","1296","1","4","92128.33","162","0"
"Avery Turner","lead159@example.test","+1-202-555-1159","Keystone Solutions 159","LinkedIn","contacted","192","9","2","29236.65","71","1"
"Sage Ellis","lead160@example.test","+1-202-555-1160","Keystone Systems 160","Website","lost","1729","1","4","26555.03","123","0"
"Jordan Sawyer","lead161@example.test","+1-202-555-1161","Oakridge Media 161","Email Campaign","qualified","225","9","3","107407.59","55","1"
"Casey Nolan","lead162@example.test","+1-202-555-1162","Summit Logistics 162","Website","qualified","807","10","0","14505.04","45","1"
"Quinn Lawson","lead163@example.test","+1-202-555-1163","Blue Oak Supply 163","Google Ads","converted","254","14","1","70765.21","33","1"
"Avery Bennett","lead164@example.test","+1-202-555-1164","Redwood Health 164","Website","converted","15","15","2","99027.91","64","1"
"Drew Bennett","lead165@example.test","+1-202-555-1165","Atlas Commerce 165","LinkedIn","qualified","745","2","0","148939.87","72","0"
"Alex Young","lead166@example.test","+1-202-555-1166","Northstar Solutions 166","Website","lost","1669","6","3","56508.89","130","0"
"Alex Jensen","lead167@example.test","+1-202-555-1167","Pioneer Solutions 167","Facebook","converted","1760","13","1","21347.37","65","1"
"Jordan Reed","lead168@example.test","+1-202-555-1168","Horizon Media 168","Google Ads","lost","879","3","5","89896.24","152","0"
"Morgan Lawson","lead169@example.test","+1-202-555-1169","Summit Commerce 169","Referral","qualified","650","10","5","181923.58","132","1"
"Riley West","lead170@example.test","+1-202-555-1170","Silver Birch Systems 170","Google Ads","contacted","1024","7","1","147628.02","134","0"
"Jamie Monroe","lead171@example.test","+1-202-555-1171","Blue Oak Works 171","LinkedIn","contacted","1378","3","3","21897.86","127","0"
"Skyler Sawyer","lead172@example.test","+1-202-555-1172","Silver Birch Systems 172","Cold Call","new","177","2","5","29789.1","96","0"
"Taylor Foster","lead173@example.test","+1-202-555-1173","Atlas Labs 173","Email Campaign","qualified","920","7","4","124407.71","104","1"
"Morgan West","lead174@example.test","+1-202-555-1174","Summit Labs 174","Referral","qualified","207","1","0","45281.39","65","0"
"Emerson Harper","lead175@example.test","+1-202-555-1175","Pioneer Systems 175","Google Ads","qualified","1596","10","5","81772.77","56","1"
"Sage Whitaker","lead176@example.test","+1-202-555-1176","Summit Health 176","Google Ads","contacted","1293","3","0","168300.69","177","0"
"Finley Griffin","lead177@example.test","+1-202-555-1177","Oakridge Commerce 177","Website","qualified","1163","14","5","108555.57","35","1"
"Finley Foster","lead178@example.test","+1-202-555-1178","Redwood Logistics 178","Cold Call","converted","1478","12","3","50205.61","77","1"
"Skyler Nolan","lead179@example.test","+1-202-555-1179","Blue Oak Ventures 179","Cold Call","qualified","1382","7","2","121104.14","72","1"
"Emerson Warren","lead180@example.test","+1-202-555-1180","Brightline Systems 180","Website","lost","1370","8","2","96290.26","87","0"
"Riley Carter","lead181@example.test","+1-202-555-1181","Cedar Commerce 181","Facebook","contacted","1322","2","1","185750.42","125","0"
"Finley Reed","lead182@example.test","+1-202-555-1182","Evergreen Systems 182","Website","lost","903","9","2","55075.56","29","0"
"Morgan Young","lead183@example.test","+1-202-555-1183","Northstar Solutions 183","Facebook","contacted","216","6","0","138981.75","117","0"
"Morgan Harper","lead184@example.test","+1-202-555-1184","Oakridge Systems 184","Email Campaign","contacted","948","10","0","10075.34","90","0"
"Casey Keller","lead185@example.test","+1-202-555-1185","Atlas Solutions 185","Website","converted","39","15","5","40870.39","6","1"
"Skyler Warren","lead186@example.test","+1-202-555-1186","Summit Health 186","Website","new","1649","1","4","163785.3","45","0"
"Morgan Turner","lead187@example.test","+1-202-555-1187","Atlas Ventures 187","Referral","qualified","1210","5","0","161848.23","89","0"
"Morgan Reed","lead188@example.test","+1-202-555-1188","Clearpath Media 188","Email Campaign","new","879","1","5","137056.26","110","0"
"Jamie Sawyer","lead189@example.test","+1-202-555-1189","Evergreen Works 189","Facebook","qualified","1571","12","4","61853.1","155","1"
"Parker Harper","lead190@example.test","+1-202-555-1190","Northstar Analytics 190","Facebook","lost","904","0","1","174968.87","23","0"
"Cameron Dawson","lead191@example.test","+1-202-555-1191","Blue Oak Solutions 191","LinkedIn","contacted","1532","7","1","140023.38","4","0"
"Avery Ellis","lead192@example.test","+1-202-555-1192","Keystone Labs 192","Website","lost","1270","13","4","104103.34","51","0"
"Avery Keller","lead193@example.test","+1-202-555-1193","Pioneer Logistics 193","Referral","qualified","1000","15","3","17688.63","19","1"
"Casey Dawson","lead194@example.test","+1-202-555-1194","Evergreen Solutions 194","Facebook","qualified","15","11","1","131663.68","178","0"
"Jamie Reed","lead195@example.test","+1-202-555-1195","Northstar Solutions 195","Referral","contacted","1150","13","5","86310.74","110","1"
"Drew Palmer","lead196@example.test","+1-202-555-1196","Lighthouse Solutions 196","Referral","new","1613","15","0","120600.15","91","1"
"Casey Bennett","lead197@example.test","+1-202-555-1197","Brightline Works 197","Facebook","qualified","780","6","2","60208.7","52","1"
"Drew West","lead198@example.test","+1-202-555-1198","Redwood Commerce 198","Facebook","contacted","953","13","3","93568.42","13","1"
"Taylor Jensen","lead199@example.test","+1-202-555-1199","Atlas Systems 199","Cold Call","new","517","3","1","37328.54","63","0"
"Hayden Dawson","lead200@example.test","+1-202-555-1200","Summit Health 200","Website","contacted","1085","4","2","142137.95","18","0"
"Cameron Lawson","lead201@example.test","+1-202-555-1201","Atlas Labs 201","Website","lost","674","13","5","92704.78","53","0"
"Avery Ellis","lead202@example.test","+1-202-555-1202","Atlas Works 202","Website","new","754","5","3","105481.59","73","0"
"Kendall Foster","lead203@example.test","+1-202-555-1203","Horizon Health 203","Email Campaign","converted","1081","8","3","45159.16","43","1"
"Drew Warren","lead204@example.test","+1-202-555-1204","Atlas Health 204","Facebook","converted","396","6","5","141783.97","29","1"
"Jamie Turner","lead205@example.test","+1-202-555-1205","Northstar Logistics 205","Cold Call","converted","1674","14","5","29543.75","75","1"
"Morgan Whitaker","lead206@example.test","+1-202-555-1206","Silver Birch Supply 206","Email Campaign","qualified","1969","3","5","100089.18","141","1"
"Hayden Palmer","lead207@example.test","+1-202-555-1207","Redwood Partners 207","Referral","contacted","1059","6","0","65980.78","67","0"
"Riley Reed","lead208@example.test","+1-202-555-1208","Redwood Solutions 208","Referral","qualified","1979","5","2","131705.65","98","0"
"Reese Jensen","lead209@example.test","+1-202-555-1209","Atlas Systems 209","Cold Call","qualified","282","10","0","191493.54","161","0"
"Taylor Monroe","lead210@example.test","+1-202-555-1210","Clearpath Labs 210","LinkedIn","qualified","203","13","3","173618.06","129","1"
"Finley Jensen","lead211@example.test","+1-202-555-1211","Blue Oak Commerce 211","Facebook","qualified","1086","4","0","117273.31","161","0"
"Sage Griffin","lead212@example.test","+1-202-555-1212","Silver Birch Partners 212","Referral","lost","1324","4","4","76323.07","91","0"
"Hayden Foster","lead213@example.test","+1-202-555-1213","Northstar Supply 213","Facebook","lost","1368","13","3","61066.12","92","0"
"Rowan Turner","lead214@example.test","+1-202-555-1214","Cedar Solutions 214","LinkedIn","lost","753","8","3","162008.26","23","0"
"Skyler Monroe","lead215@example.test","+1-202-555-1215","Clearpath Labs 215","Referral","qualified","791","5","5","95979.28","81","1"
"Quinn Nolan","lead216@example.test","+1-202-555-1216","Redwood Commerce 216","Email Campaign","new","415","5","4","26060.36","14","1"
"Emerson Carter","lead217@example.test","+1-202-555-1217","Horizon Systems 217","Email Campaign","converted","1916","4","1","13076.64","78","1"
"Morgan West","lead218@example.test","+1-202-555-1218","Cedar Solutions 218","Website","qualified","1773","3","5","171941.27","3","1"
"Emerson Nolan","lead219@example.test","+1-202-555-1219","Redwood Systems 219","Cold Call","qualified","571","4","0","126894.46","37","0"
"Skyler Monroe","lead220@example.test","+1-202-555-1220","Brightline Systems 220","LinkedIn","qualified","1460","5","0","92444.86","1","0"
